wavelength_nm,csca_mie,csca_sample,Q_mie,Q_sample,weighted_S,S_min,S_max,C_back,back_fraction,g,l_scat_mie_um,l_scat_sample_um,l_transport_um,lambda_over_l_transport,rho,n_eff_mg_real,n_eff_mg_imag,n_eff_bg_real,n_eff_bg_imag,mu_a_mg,mu_a_bg
400.0,0.04191323182707311,0.004173884562716347,0.7005563984704092,0.06976416299635167,0.09958393521017628,0.008341230676926936,4.763794495162379,0.000799533285519184,0.19155615674211438,0.2170436136653486,0.46901495623882605,4.709745153663081,6.015335254766082,0.06649670933686884,50.870049297428714,1.320902287518085,8.947059695715814e-06,1.3412466309891566,1.0644493674206007e-05,0.0002810801701129013,0.00033440663128068613
405.0,0.04061035287172197,0.004029226548659503,0.678779500130298,0.06734628460998288,0.09921673326471282,0.008340557759012435,4.765095241338869,0.000771818293507072,0.1915549508537441,0.20516294577239566,0.48406209749757656,4.87883526870499,6.138157805748094,0.06598070835206236,50.870049297428714,1.3200989868246278,8.954987607285199e-06,1.340291321179036,1.0645170514996466e-05,0.00027785603239540563,0.0003302991554185044
410.00000000000006,0.03937193939697573,0.0038870695960640605,0.6580801065052745,0.06497021007727495,0.09872690183919762,0.008341127885253652,4.7654353200925765,0.0007458012223019641,0.19186721613040886,0.19394965958622762,0.4992878911297025,5.057262831390399,6.274127778166235,0.06534772871964563,50.870049297428714,1.3193287546729058,8.962581780931315e-06,1.3393760739049216,1.0645822126071524e-05,0.0002747003032211858,0.00032629108861160946
415.00000000000006,0.03818980299242935,0.003746493549563567,0.6383213528618764,0.06262055951217627,0.09810193444324032,0.008289738296819782,4.765336114278217,0.0007228720136342203,0.19294628539222453,0.18327052727844823,0.5147429693496823,5.247021603304892,6.424430338996428,0.06459716707969285,50.870049297428714,1.318589753478392,8.969861222195042e-06,1.3384986132117471,1.0646449741847763e-05,0.00027161108548788337,0.0003223788751402591
420.00000000000006,0.03705665520266657,0.0036068441806644666,0.6193814167145962,0.06028639784866488,0.09733323639001613,0.008341073590979242,4.765151577258175,0.000704636818549979,0.195361036755452,0.17302696779266125,0.5304831880721899,5.4501751688039395,6.590511366805334,0.0637279835545735,50.870049297428714,1.3178802744287361,8.976843570738313e-06,1.3376568266599904,1.0647054522943321e-05,0.0002685865315643452,0.0003185591263966544
425.00000000000006,0.03596620036265181,0.003467711550321164,0.6011550695179115,0.057960873183204475,0.09641584363529603,0.008279816811140095,4.765080416835502,0.0006930668514253404,0.19986288979576505,0.1631521076038865,0.5465668431190677,5.668848837609297,6.774049249712401,0.06273943166534313,50.870049297428714,1.3171987265961567,8.98354521873624e-06,1.3368487511209166,1.06476375612995e-05,0.0002656248438811621,0.00031482861120626113
430.00000000000006,0.03491314586276513,0.003328910795847113,0.5835538482406454,0.05564089563863088,0.09534834841100344,0.00834071740194986,4.765177141692286,0.000690636356782909,0.20746616510255922,0.15360681246793745,0.5630524579043348,5.905214587223591,6.976916490126987,0.06163181121753309,50.870049297428714,1.3165436271263047,8.98998141728207e-06,1.3360725600171741,1.0648199884908081e-05,0.000262724275129694,0.00031118424681286425
435.00000000000006,0.03389317740249388,0.003190454273451977,0.5665056417451614,0.05332667174212809,0.09413264019375242,0.008333348876574775,4.765361684226022,0.0007003010962329945,0.21949886637155577,0.14437377830767975,0.579996745591519,6.161483884842884,7.201139619887115,0.06040710539741196,50.870049297428714,1.3159135923820062,8.996166372189452e-06,1.3353265518405233,1.0648742462176296e-05,0.00025988312814107515,0.00030762309047487567
440.0,0.03290290275776522,0.003052525639456322,0.5499537508895495,0.051021271207122694,0.09277374892815234,0.008276824122555482,4.765427636214359,0.0007249512712504773,0.2374922791408876,0.135453081559603,0.5974528367884839,6.4398910649948515,7.448862436074747,0.059069422180370194,50.870049297428714,1.3153073299356977,9.00211333039737e-06,1.334609139800469,1.0649266205958374e-05,0.000257099755505083,0.0003041423316250989
445.0,0.03193972752911774,0.002915443086170101,0.5338548117273026,0.048730012441405395,0.09127952276713219,0.008340842659697922,4.7650493837245795,0.0007657680888188998,0.26265924807500124,0.12685707117272776,0.615469639597939,6.742691251444146,7.722322461570327,0.057625151269519725,50.870049297428714,1.314723631317624,9.007834658029581e-06,1.3339188424763708,1.0649771977281998e-05,0.00025437255897903157,0.0003007392845504321
