wvls,R,T
400,0.7561028761728652,0.11460775396586818
410,0.7569622258262787,0.11615620535031597
420,0.7545583471687364,0.1203815724294407
430,0.7506295873243674,0.1256092292631097
440,0.742879451426494,0.13388025982813254
450,0.7364300807594603,0.14077057267555154
460,0.7240927401126087,0.15343641576339306
470,0.7135453062376755,0.16536522773018136
480,0.6993482362057579,0.17978507669364557
490,0.685201951473136,0.19458685565179773
500,0.668849121213372,0.21119540946527104
510,0.6528250195607153,0.22696732374025402
520,0.6364891257812184,0.24361122941150307
530,0.6187265813112797,0.26253957608710876
540,0.6116043273846691,0.2708072612743565
550,0.6136311887324164,0.271773587798806
560,0.6266234969106641,0.2615873626258447
570,0.6421271598920573,0.24931041366199536
580,0.6641952974861501,0.23190655736707047
590,0.6852421466880472,0.2145327117586862
600,0.7070596567344982,0.19640433830202375
610,0.7204451270274379,0.18578376590912404
620,0.7238048213399785,0.18395244741389702
630,0.7184270335448085,0.1899550897299933
640,0.7059604404468345,0.20237692605579546
650,0.6881736325499545,0.21901781703461404
660,0.6688045462989136,0.2371079052620949
670,0.6466490628493167,0.2578137063846127
680,0.6261654636157523,0.2766654777958769
690,0.6089255054762401,0.2923606505754279
700,0.5913807123713923,0.30873412603724404
710,0.5756633057979661,0.32303972934673253
720,0.5574465742194601,0.3400065604370658
730,0.5465048106655497,0.34937599490724663
740,0.5339688750749022,0.3607182126852834
750,0.5221995661785936,0.37110910018462856
760,0.5097147784013341,0.3823612216777571
770,0.49983049838250154,0.3907084909394076
780,0.48912642983936216,0.399966961579062
790,0.4806050352329063,0.40681774849661007
