wvls,l_scat_mie,mu_scat_mie
0.4,0.11692854552617382,8.552231582972658
0.4004004004004004,0.11709534325684288,8.54004926401342
0.4008008008008008,0.11726005625820231,8.528053217013959
0.40120120120120123,0.11742271747970087,8.516239629464138
0.40160160160160163,0.11758336012921596,8.504604723840766
0.40200200200200203,0.11774201765655742,8.493144757523245
0.40240240240240244,0.11789872373766627,8.481856022674824
0.40280280280280284,0.11805351225948342,8.470734846092379
0.40320320320320324,0.11820641730546853,8.459777589027203
0.40360360360360364,0.11835747314174033,8.448980646979837
0.40400400400400405,0.11850671420381967,8.438340449471076
0.40440440440440445,0.11865417508394824,8.42785345979184
0.40480480480480485,0.11879989051896754,8.417516174733683
0.40520520520520525,0.11894389537872696,8.407325124302675
0.4056056056056056,0.11908622465501026,8.397276871417953
0.406006006006006,0.11922691345095143,8.387368011597385
0.4064064064064064,0.1193659969709245,8.377595172631807
0.4068068068068068,0.11950351051088685,8.367955014249555
0.4072072072072072,0.11963948944915555,8.358444227772976
0.4076076076076076,0.11977396923760099,8.349059535768204
0.408008008008008,0.11990698539323671,8.339797691689816
0.4084084084084084,0.12003857349019081,8.33065547952148
0.4088088088088088,0.1201687691520402,8.321629713413955
0.4092092092092092,0.12029760804449308,8.312717237321474
0.4096096096096096,0.12042512586840128,8.303914924637775
0.41001001001001003,0.12055135835309015,8.295219677832577
0.41041041041041043,0.12067634124998938,8.28662842808957
0.41081081081081083,0.12080011032655037,8.278138134946822
0.41121121121121124,0.12092270136043783,8.269745785940316
0.41161161161161164,0.12104415013398123,8.261448396251458
0.41201201201201204,0.12116449242887213,8.253243008359364
0.41241241241241244,0.12128376402109807,8.245126691698353
0.41281281281281285,0.12140200067609808,8.2370965423215
0.41321321321321325,0.12151923814413036,8.22914968257067
0.41361361361361365,0.12163551215583936,8.221283260753657
0.41401401401401405,0.12175085841801628,8.21349445082864
0.41441441441441446,0.12186531260953111,8.20578045209716
0.41481481481481486,0.12197891037744309,8.19813848890492
0.41521521521521526,0.12209168733326661,8.190565810351673
0.41561561561561566,0.12220367904939008,8.183059690010134
0.416016016016016,0.12231492105563686,8.175617425654343
0.41641641641641647,0.12242544883595967,8.168236338997787
0.4168168168168168,0.12253529782526376,8.16091377544132
0.4172172172172172,0.12264450340634632,8.153647103831434
0.4176176176176176,0.12275310090694769,8.146433716228843
0.418018018018018,0.12286112559690861,8.139271027687554
0.4184184184184184,0.12296861268542297,8.132156476044742
0.4188188188188188,0.12307559731838269,8.125087521721408
0.41921921921921923,0.12318211457580878,8.118061647533901
0.41961961961961963,0.12328819946935955,8.111076358516591
0.42002002002002004,0.12339388693991439,8.104129181755507
0.42042042042042044,0.12349921185522451,8.097217666233195
0.42082082082082084,0.12360420900762835,8.090339382684647
0.42122122122122124,0.12370891311182446,8.083491923464463
0.42162162162162165,0.12381335880269789,8.07667290242521
0.42202202202202205,0.12391758063319724,8.06987995480685
0.42242242242242245,0.12402161307225565,8.063110737137363
0.42282282282282285,0.12412549050275305,8.056362927144448
0.42322322322322325,0.12422924721951782,8.049634223678115
0.42362362362362366,0.12433291742735976,8.042922346644362
0.42402402402402406,0.12443653523913377,8.036225036949697
0.42442442442442446,0.12454013467383317,8.029540056456256
0.42482482482482486,0.12464374965470354,8.022865187947787
0.42522522522522527,0.12474741400738087,8.016198235105968
0.42562562562562567,0.12485116145804635,8.009537022497218
0.4260260260260261,0.12495502563159663,8.002879395569792
0.4264264264264265,0.125059040049829,7.996223220660866
0.4268268268268268,0.12516323812963678,7.989566385013612
0.4272272272272273,0.1252676531812133,7.982906796804049
0.4276276276276276,0.12537231840626187,7.976242385177539
0.42802802802802803,0.12547726689621277,7.969571100294523
0.42842842842842843,0.12558253163044147,7.962890913385583
0.42882882882882883,0.1256881454744876,7.9561998168155155
0.42922922922922924,0.12579414117827584,7.949495824156047
0.42962962962962964,0.12590055137433231,7.9427769702672855
0.43003003003003004,0.1260074085759998,7.936041311387358
0.43043043043043044,0.12611474517564694,7.929286925230234
0.43083083083083085,0.1262225934428723,7.922511911091377
0.43123123123123125,0.1263309855227014,7.915714389960983
0.43163163163163165,0.12643995343377612,7.908892504644567
0.43203203203203205,0.12654952906653455,7.902044419890658
0.43243243243243246,0.12665974418138137,7.895168322525297
0.43283283283283286,0.1267706304068476,7.888262421593072
0.43323323323323326,0.1268822192377393,7.881324948504403
0.43363363363363366,0.12699454203327384,7.874354157188818
0.43403403403403407,0.12710763001520342,7.867348324253936
0.43443443443443447,0.1272215142659269,7.860305749149733
0.43483483483483487,0.1273362257265864,7.853224754338004
0.4352352352352353,0.1274517951951503,7.846103685466576
0.4356356356356357,0.1275682533244829,7.838940911547936
0.4360360360360361,0.12768563062039867,7.831734825142047
0.4364364364364365,0.12780395743970133,7.824483842543029
0.4368368368368369,0.1279232639882096,7.81718640396924
0.4372372372372373,0.12804358031876584,7.809840973756666
0.43763763763763763,0.12816493632923084,7.802446040555071
0.4380380380380381,0.12828736176046243,7.795000117526739
0.43843843843843844,0.1284108861942801,7.787501742547306
0.43883883883883884,0.12853553905141335,7.77994947840851
0.43923923923923924,0.12866134958943534,7.772341913022434
0.43963963963963965,0.128788346900683,7.764677659626802
