q400,S_q400,q500,S_q500,q600,S_q600,q700,S_q700,q800,S_q800
0.002079485309772448,0.022034196362884288,0.0016635882478179583,0.022172958774645486,0.0013863235398482987,0.021095371057464275,0.0011882773198699703,0.011966020955853458,0.001039742654886224,0.047288082868877764
0.06747172625069373,0.008340719226321795,0.053977381000554985,0.008348424081221186,0.04498115083379582,0.008332218193889174,0.03855527214325356,0.008348348810668342,0.03373586312534686,0.008438142096879304
0.13286380038899756,0.008340249794250743,0.10629104031119806,0.008340037384740283,0.08857586692599838,0.008339770107532549,0.07592217165085575,0.008340107164327634,0.06643190019449878,0.00834060301289918
0.19825554606335205,0.008341205923603656,0.15860443685068165,0.008340584233438518,0.13217036404223473,0.008340236071792228,0.11328888346477262,0.008340075504810297,0.09912777303167603,0.00833995871759625
0.26364680161323745,0.008342533112687702,0.21091744129058998,0.00834143316065653,0.175764534408825,0.008340839628166417,0.15065531520756428,0.00834047707407332,0.13182340080661872,0.008340211309679739
0.3290374053793456,0.008344235615469741,0.2632299243034765,0.008342523437747747,0.21935827025289711,0.008341595341155361,0.18802137450248324,0.008341034747613926,0.1645187026896728,0.008340676436083267
0.39442719570397966,0.00834631446281253,0.31554175656318373,0.008343853238457762,0.2629514638026531,0.008342517087072688,0.22538696897370267,0.008341712778407687,0.19721359785198983,0.008341185718016456
0.4598160109314539,0.00834876987714554,0.36785280874516313,0.008345424176221885,0.306544007287636,0.00834360760804301,0.2627520062465451,0.008342511482708008,0.22990800546572696,0.008341801419874985
0.5252036894084929,0.008351602163358274,0.42016295152679434,0.008347235862191084,0.35013579293899527,0.008344865294650922,0.3001163939477103,0.008343436003386828,0.26260184470424647,0.008342508496995792
0.5905900694846319,0.008354811765484742,0.4724720555877055,0.008349288625665533,0.3937267129897546,0.008346290225459178,0.33748003970550394,0.00834448275670889,0.29529503474231594,0.008343310086418183
0.6559749895126157,0.008358399172209648,0.5247799916100926,0.008351582596539153,0.43731665967507716,0.008347882497616917,0.37484285115006616,0.008345652397675108,0.32798749475630784,0.008344205374561741
0.721358287848799,0.008362364897161427,0.5770866302790392,0.008354117985060227,0.48090552523253266,0.008349642143534121,0.4122047359135994,0.008346944722861285,0.3606791439243995,0.008345194463680096
0.786739802853545,0.008366709532945174,0.629391842282836,0.008356895041713504,0.5244932019023634,0.00835156935086512,0.44956560163059717,0.008348360043748077,0.3933699014267725,0.00834627779752774
0.8521193728916261,0.008371433724215682,0.6816954983133009,0.008359914026183033,0.5680795819277508,0.008353664170704257,0.4869253559380721,0.008349898348066778,0.42605968644581305,0.008347455241541965
0.9174968363326232,0.008376538169454235,0.7339974690660986,0.008363175203562926,0.6116645575550822,0.008355926744529132,0.5242839064757848,0.00835155969290458,0.4587484181663116,0.008348726724137992
0.9828720315513245,0.008382023628117002,0.7862976252410596,0.008366678875377795,0.6552480210342164,0.008358357206745005,0.5616411608864712,0.008353344172383502,0.49143601577566226,0.008350092390440874
1.048244796928126,0.008387890914410709,0.8385958375425009,0.008370425359809025,0.6988298646187507,0.008360955702791027,0.5989970268160721,0.008355251844655314,0.524122398464063,0.00835155224916264
1.1136149708494307,0.00839414090034767,0.8908919766795447,0.008374415000480345,0.7424099805662873,0.008363722389674696,0.6363514119139605,0.008357282791388464,0.5568074854247154,0.00835310633599952
1.1789823917080484,0.008400774515412336,0.9431859133664389,0.00837864816071279,0.7859882611386991,0.008366657436985843,0.6737042238331706,0.008359437094954038,0.5894911958540242,0.008354754707148622
1.2443468979035948,0.008407792746905719,0.9954775183228758,0.008383125228222378,0.8295645986023965,0.008369761020107941,0.7110553702306256,0.008361714847307147,0.6221734489517974,0.008356497409176053
1.3097083278428905,0.008415196639924325,1.0477666622743125,0.008387846612039337,0.8731388852285937,0.008373033326180031,0.7484047587673661,0.008364116147340459,0.6548541639214452,0.008358334489192402
1.3750665199403622,0.008422987298146611,1.1000532159522898,0.008392812744499066,0.9167110132935749,0.008376474553070435,0.7857522971087785,0.008366641090063676,0.6875332599701811,0.008360266007851481
1.4404213126184409,0.00843116588380986,1.1523370500947527,0.008398024079758969,0.9602808750789606,0.00838008490927707,0.8230978929248234,0.008369289783678926,0.7202106563092204,0.008362292022245634
