theta,fresnel_refl
0.0,0.019420120389108186
0.0031478884304506943,0.019420120390153166
0.006295776860901389,0.01942012040582837
0.009443665291352083,0.01942012047375784
0.012591553721802777,0.019420120656659663
0.015739442152253473,0.019420121042362716
0.018887330582704167,0.01942012174383026
0.02203521901315486,0.019420122899190366
0.025183107443605555,0.019420124671773002
0.02833099587405625,0.019420127250153955
0.031478884304506946,0.0194201308482055
0.034626772734957637,0.019420135705153923
0.037774661165408334,0.01942014208564384
0.040922549595859024,0.01942015027980935
0.04407043802630972,0.01942016060335209
0.04721832645676041,0.019420173397626174
0.05036621488721111,0.019420189029729973
0.05351410331766181,0.01942020789260502
0.0566619917481125,0.01942023040514159
0.059809880178563195,0.019420257012291685
0.06295776860901389,0.019420288185188674
0.06610565703946458,0.019420324421274275
0.06925354546991527,0.019420366244432576
0.07240143390036596,0.019420414205131145
0.07554932233081667,0.01942046888056949
0.07869721076126736,0.019420530874834616
0.08184509919171805,0.01942060081906402
0.08499298762216875,0.019420679371615984
0.08814087605261944,0.019420767218247155
0.09128876448307013,0.01942086507229778
0.09443665291352082,0.019420973674884386
0.09758454134397153,0.019421093795099945
0.10073242977442222,0.01942122623022178
0.10388031820487291,0.019421371805927123
0.10702820663532361,0.01942153137651654
0.1101760950657743,0.019421705825145005
0.113323983496225,0.019421896064061084
0.11647187192667569,0.019422103034853984
0.11961976035712639,0.019422327708708734
0.12276764878757708,0.019422571086669442
0.12591553721802778,0.019422834199910866
0.12906342564847847,0.01942311811001818
0.13221131407892917,0.019423423909275338
0.13535920250937986,0.01942375272096162
0.13850709093983055,0.019424105699657107
0.14165497937028124,0.01942448403155653
0.14480286780073193,0.019424888934792182
0.14795075623118265,0.01942532165976541
0.15109864466163334,0.019425783489487355
0.15424653309208403,0.01942627573992864
0.15739442152253472,0.019426799760378283
0.1605423099529854,0.019427356933811965
0.1636901983834361,0.01942794867726965
0.1668380868138868,0.01942857644224287
0.1699859752443375,0.01942924171507158
0.1731338636747882,0.019429946017350888
0.1762817521052389,0.01943069090634768
0.17942964053568958,0.01943147797542729
0.18257752896614027,0.019432308854490384
0.18572541739659096,0.019433185210420208
0.18887330582704165,0.019434108747540334
0.19202119425749237,0.019435081208082912
0.19516908268794306,0.01943610437266783
0.19831697111839375,0.019437180060792706
0.20146485954884444,0.019438310131334107
0.20461274797929513,0.01943949648305977
0.20776063640974582,0.019440741055152536
0.2109085248401965,0.019442045827745627
0.21405641327064723,0.019443412822469745
0.21720430170109792,0.019444844103012157
0.2203521901315486,0.019446341775687846
0.2235000785619993,0.019447907990022897
0.22664796699245,0.01944954493935051
0.22979585542290068,0.01945125486141952
0.23294374385335137,0.019453040039015847
0.2360916322838021,0.019454902800597158
0.23923952071425278,0.019456845520940593
0.24238740914470347,0.019458870621804056
0.24553529757515416,0.019460980572601344
0.24868318600560485,0.01946317789109099
0.25183107443605557,0.019465465144079402
0.25497896286650623,0.01946784494813835
0.25812685129695695,0.019470319970337005
0.2612747397274076,0.019472892928988975
0.26442262815785833,0.019475566594414247
0.267570516588309,0.019478343789716718
0.2707184050187597,0.019481227391577084
0.27386629344921043,0.019484220331061793
0.2770141818796611,0.019487325594448063
0.2801620703101118,0.01949054622406524
0.2833099587405625,0.01949388531915299
0.2864578471710132,0.01949734603673633
0.28960573560146385,0.01950093159251803
0.29275362403191457,0.01950464526178847
0.2959015124623653,0.019508490380353447
0.29904940089281595,0.019512470345480072
0.30219728932326667,0.019516588616861296
0.30534517775371733,0.019520848717598994
0.30849306618416805,0.01952525423520656
0.3116409546146187,0.019529808822630553
0.31478884304506943,0.019534516199292515
0.31793673147552015,0.01953938015215074
0.3210846199059708,0.019544404536782738
0.32423250833642153,0.019549593278488358
0.3273803967668722,0.019554950373414474
0.3305282851973229,0.01956047988970106
0.3336761736277736,0.019566185968649483
0.3368240620582243,0.019572072825913042
0.339971950488675,0.01957814475271054
0.3431198389191257,0.019584406117062983
0.3462677273495764,0.019590861365053953
0.34941561578002706,0.01959751502211419
0.3525635042104778,0.01960437169433051
0.35571139264092844,0.01961143606977994
0.35885928107137915,0.019618712919889182
0.3620071695018299,0.019626207100819918
0.36515505793228054,0.019633923554880726
