qd,s_data
0.001,0.022391853199950667
0.101,0.008345362532888874
0.201,0.008362805670527901
0.30100000000000005,0.008391894764716828
0.401,0.008432771554418895
0.501,0.00848563604762475
0.6010000000000001,0.008550748478660634
0.7010000000000001,0.008628431804959445
0.801,0.00871907483422319
0.901,0.008823136032227208
1.001,0.008941148072020927
1.101,0.009073723198460924
1.201,0.009221559496734684
1.301,0.009385448170554717
1.401,0.009566281955333565
1.501,0.009765064814543116
1.601,0.009982923094276003
1.701,0.010221118342606573
1.801,0.010481062037716192
1.901,0.010764332513149014
2.001,0.011072694421541197
2.101,0.011408121141617811
2.201,0.011772820609534806
2.301,0.012169265147697773
2.4010000000000002,0.012600225975686802
2.501,0.013068813223474538
2.601,0.013578522432564846
2.701,0.014133288733380347
2.801,0.014737550136580449
2.9010000000000002,0.015396321684008006
3.001,0.016115282587077805
3.101,0.0169008789565692
3.201,0.017760445323856018
3.301,0.018702348903389114
3.4010000000000002,0.019736161494111622
3.501,0.02087286512202729
3.601,0.02212509906522699
3.701,0.02350745788044651
3.801,0.025036852606903658
3.9010000000000002,0.0267329506488735
4.001,0.028618714192913564
4.101000000000001,0.03072106275632227
4.2010000000000005,0.033071693086331386
4.301,0.03570809982880445
4.401000000000001,0.038674854140750496
4.501,0.04202521612903358
4.601000000000001,0.04582318266722781
4.7010000000000005,0.050146107693750976
4.801000000000001,0.055088081817299
4.901000000000001,0.06076432832387404
5.001,0.06731697307398285
5.101000000000001,0.07492269087680312
5.2010000000000005,0.08380294319518537
5.301000000000001,0.09423783654657798
5.401000000000001,0.10658510322385516
5.501,0.1213064249915954
5.601000000000001,0.13900443092200052
5.7010000000000005,0.16047544069263822
5.801000000000001,0.18678579073290125
5.901000000000001,0.2193840366534981
6.001,0.2602685848269961
6.101000000000001,0.31224221107935274
6.2010000000000005,0.37930439490053075
6.301000000000001,0.46726352689965417
6.401000000000001,0.5846974183500504
6.501,0.7444456663130943
6.601000000000001,0.9658248717905344
6.7010000000000005,1.2774644856521782
6.801000000000001,1.719143921357
6.901000000000001,2.3355509168571444
7.001,3.141078791302173
7.101000000000001,4.02550032083978
7.2010000000000005,4.661914371285292
7.301000000000001,4.697939883640182
7.401000000000001,4.170290571752554
7.501,3.4281316324886926
7.601000000000001,2.738897168434715
7.7010000000000005,2.189866734765394
7.801000000000001,1.775896270270841
7.901000000000001,1.4676104436127473
8.001,1.236721196899283
