theta_a,p_theta,prob
0.0,0.0,0.0
0.0031478884304506943,0.003886309587963395,1.223368146090303e-05
0.006295776860901389,0.007772784627112229,2.4467883744209466e-05
0.009443665291352083,0.01165959057271908,3.670312768518859e-05
0.012591553721802777,0.015546892888226534,4.893993414482798e-05
0.015739442152253473,0.019434857049321415,6.117882402265874e-05
0.018887330582704167,0.02332364854799615,7.342031826954026e-05
0.02203521901315486,0.027213432896592945,8.566493790039084e-05
0.025183107443605555,0.031104375631826303,9.791320400685009e-05
0.02833099587405625,0.03499664231877981,0.00011016563776986044
0.031478884304506946,0.03889039855487255,0.00012242276047215298
0.034626772734957637,0.04278580997379092,0.00013468509351062435
0.037774661165408334,0.04668304224938145,0.00014695315840859097
0.040922549595859024,0.05058226109949994,0.00015922747682790562
0.04407043802630972,0.054483632289812976,0.0001715085705809243
0.04721832645676041,0.058387321637546556,0.00018379696164230638
0.05036621488721111,0.06229349501517792,0.00019609317216063627
0.05351410331766181,0.06620231835406584,0.00020839772446985098
0.0566619917481125,0.0701139576480143,0.00022071114110045826
0.059809880178563195,0.07402857895676568,0.0002330339447905329
0.06295776860901389,0.07794634840941775,0.0002453666584964728
0.06610565703946458,0.08186743220776058,0.00025770980540350345
0.06925354546991527,0.08579199662952783,0.00027006390893591245
0.07240143390036596,0.0897202080315579,0.00028242949276700065
0.07554932233081667,0.09365223285285974,0.0002948070808287328
0.07869721076126736,0.09758823761757816,0.0003071971973210721
0.08184509919171805,0.10152838893785401,0.0003196003667209839
0.08499298762216875,0.10547285351657337,0.0003320171137910895
0.08814087605261944,0.1094217981500008,0.00034444796358795563
0.09128876448307013,0.11337538973029129,0.00035689344147000167
0.09443665291352082,0.1173337952478753,0.00036935407310500763
0.09758454134397153,0.12129718179371114,0.0003818303844772043
0.10073242977442222,0.12526571656139968,0.0003943229018939299
0.10388031820487291,0.1292395668491548,0.0004068321519918333
0.10702820663532361,0.1332189000616242,0.0004193586617426054
0.1101760950657743,0.13720388371155454,0.00043190295845822095
0.113323983496225,0.14119468542129435,0.0004444655697956695
0.11647187192667569,0.1451914729241296,0.0004570470237611597
0.11961976035712639,0.14919441406544376,0.0004696478487137708
0.12276764878757708,0.15320367680369784,0.00048226857336853814
0.12591553721802778,0.1572194292112226,0.0004949097267989464
0.12906342564847847,0.1612418394748162,0.0005075718384388117
0.13221131407892917,0.1652710758961411,0.0005202554380835299
0.13535920250937986,0.16930730689191215,0.0005329610558906699
0.13850709093983055,0.17335070099386984,0.0005456892223798885
0.14165497937028124,0.17740142684853066,0.000558440468432145
0.14480286780073193,0.1814596532167068,0.0005712153252881891
0.14795075623118265,0.18552554897278778,0.0005840143245462999
0.15109864466163334,0.1895992831037771,0.0005968379981592528
0.15424653309208403,0.19368102470807394,0.0006096868784304847
