theta_a,prob
0.0,3.886285950091874e-303
0.0031478884104106145,1.2233681305137698e-05
0.006295776820821229,2.446788343266554e-05
0.009443665231231843,3.670312721783953e-05
0.012591553641642458,4.8939933521634e-05
0.015739442052053073,6.117882324356678e-05
0.018887330462463686,7.342031733448403e-05
0.022035218872874303,8.56649368092907e-05
0.025183107283284916,9.791320275961327e-05
0.02833099569369553,0.00011016563636638068
0.031478884104106146,0.00012242275891231088
0.03462677251451676,0.0001346850917942874
0.03777466092492737,0.00014695315653561272
0.04092254933533799,0.00015922747479812718
0.044070437745748606,0.00017150856839417289
0.047218326156159215,0.00018379695929839616
0.05036621456656983,0.0001960931696593681
0.05351410297698045,0.0002083977218110123
0.05666199138739106,0.00022071113828382328
0.059809879797801675,0.0002330339418158621
0.06295776820821229,0.00024536665536351385
0.0661056566186229,0.0002577098021119907
0.06925354502903353,0.0002700639054855664
0.07240143343944414,0.0002824294891575288
0.07554932184985474,0.000294807077059829
0.07869721026026537,0.000307197193392417
0.08184509867067598,0.00031960036263224456
0.08499298708108659,0.00033201710954192
0.08814087549149721,0.00034444795917799615
0.09128876390190782,0.0003568934368988795
0.09443665231231843,0.0003693540683723359
0.09758454072272905,0.0003818303795825832
0.10073242913313966,0.00039432289683694586
0.10388031754355027,0.0004068321467720595
0.1070282059539609,0.00041935865635960175
0.11017609436437151,0.0004319029529115333
0.11332398277478212,0.0004444655640848307
0.11647187118519274,0.00045704701788568846
0.11961975959560335,0.0004696478426731728
0.12276764800601396,0.00048226856716230524
0.12591553641642458,0.0004949097204265576
0.1290634248268352,0.0005075718318997313
0.1322113132372458,0.0005202554313772094
0.1353592016476564,0.0005329610490165468
0.13850709005806705,0.0005456892153373873
0.14165497846847766,0.0005584404612206758
0.14480286687888827,0.000571215317907149
0.14795075528929888,0.0005840143169950718
0.1510986436997095,0.0005968379904372058
0.1542465321101201,0.0006096868705369755
0.15739442052053074,0.0006225614899438069
0.16054230893094135,0.0006354623816476207
0.16369019734135196,0.0006483900789724402
0.16683808575176257,0.000661345115569098
0.16998597416217318,0.0006743280254070055
0.17313386257258379,0.0006873393427649557
0.17628175098299442,0.0007003796022209405
0.17942963939340503,0.0007134493386409332
0.18257752780381564,0.0007265490871666248
0.18572541621422625,0.0007396793832020661
