wvls,l_star,g
400.0,6015.459212790989,0.21699830400432327
401.0,6039.019643152041,0.21456141112603358
402.0,6063.076439303176,0.21215629056617485
403.0,6087.634242992667,0.2097815810276028
404.0,6112.70146599427,0.20743596156430252
405.0,6138.285083347707,0.2051181562036185
406.0,6164.393181530368,0.20282693759364714
407.0,6191.035854739059,0.2005611298154222
408.0,6218.222050542206,0.19831961045021446
409.0,6245.958441551653,0.19610131201405276
410.0,6274.257758501052,0.19390522282990225
411.0,6303.12954530776,0.19173038742545043
412.0,6332.584743698811,0.18957590653213963
413.0,6362.635224336636,0.18744093672251375
414.0,6393.290558132321,0.1853246897677062
415.0,6424.563350065153,0.18322643173838246
416.0,6456.467647195726,0.18114548191605842
417.0,6489.014224890476,0.17908121152567422
418.0,6522.216495326531,0.17703304233722117
419.0,6556.089062222408,0.17500044516325308
420.0,6590.64624481983,0.17298293826702746
421.0,6625.899410096584,0.17098008571640774
422.0,6661.866037518202,0.1689914956866607
423.0,6698.558991009431,0.1670168187354555
424.0,6735.993642544553,0.16505574606588438
425.0,6774.1855163239,0.1631080077788444
426.0,6813.150492627363,0.161173371134556
427.0,6852.902659364909,0.15925163881861049
428.0,6893.460668353037,0.15734264723722208
429.0,6934.838620298158,0.15544626482241092
430.0,6977.054301956223,0.1535623903744785
431.0,7020.123187760788,0.1516909514295803
432.0,7064.063615718132,0.14983190265936658
433.0,7108.891665214986,0.1479852243136024
434.0,7154.623059781138,0.14615092067802662
435.0,7201.278415944606,0.1443290185926311
436.0,7248.872809277668,0.1425195659852626
437.0,7297.426163640101,0.1407226304547496
438.0,7346.952319361407,0.13893829787383574
439.0,7397.473333131222,0.13716667104229227
440.0,7449.004281456134,0.13540786836424049
441.0,7501.565090224539,0.13366202254983856
442.0,7555.174109515571,0.13192927935964457
443.0,7609.847149056372,0.13020979637069696
444.0,7665.605322387219,0.12850374176539675
445.0,7722.465688066257,0.12681129314913042
446.0,7780.447045497484,0.12513263639463906
447.0,7839.569107574405,0.12346796448845503
448.0,7899.848392744651,0.12181747642266665
449.0,7961.304351582284,0.1201813760783131
450.0,8023.954941247281,0.11855987113903084
451.0,8087.821034954533,0.1169531720070763
452.0,8152.917355759068,0.11536149073736834
453.0,8219.267008671188,0.11378503996774424
454.0,8286.883296221953,0.11222403187419454
455.0,8355.788890558602,0.11067867711164567
456.0,8425.99968376018,0.1091491837659463
457.0,8497.53408237311,0.10763575630309483
458.0,8570.41004447076,0.10613859452586133
459.0,8644.64512938547,0.10465789250832443
460.0,8720.25936228786,0.10319383754611032
461.0,8797.26580763267,0.10174660908744981
462.0,8875.68324966762,0.10031637765738688
463.0,8955.530764051953,0.09890330377707994
464.0,9036.820063414289,0.09750753686874043
465.0,9119.570836480638,0.09612921414645223
466.0,9203.800337376137,0.09476845949671478
467.0,9289.517735774045,0.09342538234388918
468.0,9376.74199787173,0.09210007649517411
469.0,9465.485887495677,0.09079261897860481
470.0,9555.764461137316,0.0895030688491258
471.0,9647.58894822007,0.0882314659919178
472.0,9740.971584969868,0.08697782989582882
473.0,9835.925934125125,0.08574215841335703
474.0,9932.457635183198,0.08452442649797197
475.0,10030.583206337775,0.08332458492670781
476.0,10130.307159810774,0.08214255899947981
477.0,10231.636510180526,0.0809782472217156
478.0,10334.579471967987,0.0798315199681613
479.0,10439.141751568344,0.07870221812510089
480.0,10545.330001000211,0.07759015172652906
481.0,10653.142905780327,0.07649509856379258
482.0,10762.581027625089,0.0754168027825027
483.0,10873.651140272343,0.07435497348342451
484.0,10986.345003665143,0.07330928328389337
485.0,11100.660880629475,0.07227936689687643
486.0,11216.595535809873,0.07126481970056432
487.0,11334.138887365065,0.07026519628271899
488.0,11453.287091061175,0.06928000902758881
489.0,11574.021824025818,0.06830872665387151
490.0,11696.335112884137,0.06735077281659936
491.0,11820.208256432925,0.06640552468357147
492.0,11945.625101044074,0.0654723115340381
493.0,12072.5617346543,0.06455041339822357
494.0,12200.99493708832,0.0636390597019735
495.0,12330.901326749947,0.06273742796335022
496.0,12462.249127823554,0.061844642515989
497.0,12595.003947217749,0.060959773284225555
498.0,12729.13596144553,0.060081834602552904
499.0,12864.597550571107,0.0592097841316986
500.0,13001.347258028021,0.058342521774510436
501.0,13139.346367993356,0.057478888745552015
502.0,13278.53927187734,0.056617666677190016
503.0,13418.867846082234,0.05575757683576501
504.0,13560.280991228741,0.05489727943420457
505.0,13702.714759134115,0.05403537307384513
506.0,13846.101130133586,0.053170394298265415
507.0,13990.365856777296,0.05230081727626074
508.0,14135.440367775816,0.05142505364101444
509.0,14281.243086778291,0.05054145247269687
510.0,14427.688392675793,0.04964830046758166
511.0,14574.68743953,0.04874382224193628
512.0,14722.1478641991,0.04782618087525273
513.0,14869.96814983898,0.04689347859826432
514.0,15018.047301378576,0.04594375774759185
515.0,15166.280166857665,0.04497500187873795
516.0,15314.55111997962,0.04398513714558826
517.0,15462.743952661702,0.042972033921265064
518.0,15610.730326273744,0.04193350863108098
519.0,15758.391032801579,0.04086732587437104
